Key,ru,en
ChappyUnlock,Разблокировать Чаппи,Unlock Chappy
ChappyUp,Улучшить Чаппи,Upgrade Chappy
ChappyDes,Увеличивает количество снарядов на 1.,Increases the number of projectiles by 1.
ChappyUp1,Увеличивает количество снарядов на 2.,Increases the number of projectiles by 2.
YukiUnlock,Разблокировать Юки,Unlock Yuki
YukiUp,Улучшить Юки,Upgrade Yuki
YukiDes,Ускоряет снаряды на 10%.,Accelerates projectiles by 10%.
YukiUp1,Ускоряет снаряды на 20%.,Accelerates projectiles by 20%.
YukiUp2,Ускоряет снаряды на 30%.,Accelerates projectiles by 30%.
YukiUp3,Ускоряет снаряды на 40%.,Accelerates projectiles by 40%.
YukiUp4,Ускоряет снаряды на 50%.,Accelerates projectiles by 50%.
HairpinsUnlock,Разблокировать Заколку,Unlock Hairpins
HairpinsUp,Улучшить Заколку,Upgrade Hairpins
HairpinsDes,Увеличивает восстановление на 2 ОЗ/секунду.,Increases recovery by 2 HP/second.
HairpinsUp1,Увеличивает восстановление на 4 ОЗ/секунду.,Increases recovery by 4 HP/second.
HairpinsUp2,Увеличивает восстановление на 6 ОЗ/секунду.,Increases recovery by 6 HP/second.
HairpinsUp3,Увеличивает восстановление на 8 ОЗ/секунду.,Increases recovery by 8 HP/second.
HairpinsUp4,Увеличивает восстановление на 10 ОЗ/секунду.,Increases recovery by 10 HP/second.
LicenseUnlock,Разблокировать Удостоверение,Unlock License
LicenseUp,Улучшить Удостоверение,Upgrade License
LicenseDes,Персонаж получает на 10% больше монет.,The character gets 10% more coins.
LicenseUp1,Персонаж получает на 20% больше монет.,The character gets 20% more coins.
LicenseUp2,Персонаж получает на 30% больше монет.,The character gets 30% more coins.
LicenseUp3,Персонаж получает на 40% больше монет.,The character gets 40% more coins.
LicenseUp4,Персонаж получает на 50% больше монет.,The character gets 50% more coins.
