Key,ru,en,tr
RyujinUp2,"Уменьшает перезарядку на 0.9 секунды.
+2 к базовому урону.","Reduces cooldown by 0.9 seconds.
+2 to base damage.","Bekleme süresini 0,9 saniye azaltır.
temel hasara +2."
RyujinUp3,"Продлевает длительность поджёга на 0,5 секунды.
+4 к базовому урону.","Extends arson duration by 0,5 seconds.
+4 to base damage.","Kundaklama süresini 0,5 saniye uzatır.
+4 temel hasara."
RyujinUp4,"+2 к урону от поджёга.
+4 к базовому урону.","+2 to arson damage.
+4 to base damage.","kundaklama hasarına +2.
+4 temel hasara."
RyujinUp5,"Уменьшает перезарядку на 0.9 секунды.
+4 к базовому урону.","Reduces cooldown by 0.9 seconds.
+4 to base damage.","Bekleme süresini 0,9 saniye azaltır.
+4 temel hasara."
RyujinUp6,"Продлевает длительность поджёга на 0,5 секунды.
+4 к базовому урону.","Extends arson duration by 0,5 seconds.
+4 to base damage.","Kundaklama süresini 0,5 saniye uzatır.
+4 temel hasara."
PressureUp1,"Уменьшает перезарядку на 0.1 секунды.
+1 к базовому урону.","Reduces cooldown by 0.1 seconds.
+1 to base damage.","Bekleme süresini 0,1 saniye azaltır.
temel hasara +1."
PressureUp2,"Уменьшает перезарядку на 0.1 секунды.
+25% к базовой области.","Reduces cooldown by 0.1 seconds.
+25% to base area.","Bekleme süresini 0,1 saniye azaltır.
taban alanına +% 25."
PressureUp3,"Уменьшает перезарядку на 0.1 секунды.
+1 к базовому урону.","Reduces cooldown by 0.1 seconds.
+1 to base damage.","Bekleme süresini 0,1 saniye azaltır.
temel hasara +1."
PressureUp4,"Духовное давление станит врага.
+25% к базовой области.","Spiritual pressure steels the enemy.
+25% to base area.","Manevi baskı düşmanı çelikler.
taban alanına +% 25."
PressureUp5,"+50% к базовой области.
+1 к базовому урону.","+50% to base area.
+1 to base damage.","taban alanına +% 50.
temel hasara +1."
PressureUp6,"Уменьшает перезарядку на 0.2 секунды.
+1 к базовому урону.","Reduces cooldown by 0.2 seconds.
+1 to base damage.","Bekleme süresini 0,2 saniye azaltır.
temel hasara +1."
LightningUp1,"Уменьшает перезарядку на 0.9 секунды.
+2 к базовому урону.","Reduces cooldown by 0.9 seconds.
+2 to base damage.","Bekleme süresini 0,9 saniye azaltır.
temel hasara +2."
LightningUp2,"Выпускает дополнительные снаряды: 1.
+2 к базовому урону.","Fires additional projectiles: 1.
+2 to base damage.","Ek mermileri ateşler: 1.
temel hasara +2."
LightningUp3,"Молнии станят врага.
Уменьшает перезарядку на 0.9 секунды.","Lightning bolts steel the enemy.
Reduces cooldown by 0.9 seconds.","Şimşekler düşmanı çeliyor.
Bekleme süresini 0,9 saniye azaltır."
LightningUp4,"Выпускает дополнительные снаряды: 1.
+2 к базовому урону.","Fires additional projectiles: 1.
+2 to base damage.","Ek mermileri ateşler: 1.
temel hasara +2."
LightningUp5,"+50% к базовой области.
+2 к базовому урону.","+50% to base area.
+2 to base damage.","taban alanına +% 50.
temel hasara +2."
LightningUp6,"Выпускает дополнительные снаряды: 2.
+2 к базовому урону.","Fires additional projectiles: 2.
+2 to base damage.","Ek mermileri ateşler: 2.
temel hasara +2."
KunaiUp1,"Выпускает дополнительные снаряды: 1.
+3 к базовому урону.","Fires additional projectiles: 1.
+3 to base damage.","Ek mermileri ateşler: 1.
temel hasara +3."
KunaiUp2,"Выпускает дополнительные снаряды: 1.
+3 к базовому урону.","Fires additional projectiles: 1.
+3 to base damage.","Ek mermileri ateşler: 1.
temel hasara +3."
KunaiUp3,"Уменьшает перезарядку на 0.5 секунды.
+4 к базовому урону.","Reduces cooldown by 0.5 seconds.
+4 to base damage.","Bekleme süresini 0,5 saniye azaltır.
+4 temel hasara."
KunaiUp4,"Проходит сквозь ещё 3 врага.
+50% к базовой скорости.","Passes through 3 more enemies.
+50% to base speed.","3 düşmandan daha geçer.
temel hıza +% 50."
KunaiUp5,"+50% к базовой области.
+6 к базовому урону.","+50% to base area.
+6 to base damage.","taban alanına +% 50.
temel hasara +6."
KunaiUp6,"Выпускает дополнительные снаряды: 2.
+6 к базовому урону.","Fires additional projectiles: 2.
+6 to base damage.","Ek mermileri ateşler: 2.
temel hasara +6."
HyourinmaruUp1,"Уменьшает перезарядку на 0.4 секунды.
+2 к базовому урону.","Reduces cooldown by 0.4 seconds.
+2 to base damage.","Bekleme süresini 0,4 saniye azaltır.
temel hasara +2."
HyourinmaruUp2,"+50% к размеру снаряда.
+2 к базовому урону.","+50% to projectile size.
+2 to base damage.","mermi boyutuna +% 50.
temel hasara +2."
HyourinmaruUp3,"Выпускает дополнительные снаряды: 2.
+3 к базовому урону.","Fires additional projectiles: 2.
+3 to base damage.","Ek mermileri ateşler: 2.
+3 temel hasara."
HyourinmaruUp4,"Уменьшает перезарядку на 0.4 секунды.
+3 к базовому урону.","Reduces cooldown by 0.4 seconds.
+3 to base damage.","Bekleme süresini 0,4 saniye azaltır.
+3 temel hasara."
HyourinmaruUp5,"+50% к размеру снаряда.
+4 к базовому урону.","+50% to projectile size.
+4 to base damage.","mermi boyutuna +% 50.
temel hasara +4."
HyourinmaruUp6,"Выпускает дополнительные снаряды: 4.
+4 к базовому урону.","Fires additional projectiles: 4.
+4 to base damage.","Ek mermileri ateşler: 4.
temel hasara +5."
CeroUp1,"+25% к базовой скорости.
+1 к базовому урону.","+25% to base speed.
+1 to base damage.","taban hızına +% 25.
temel hasara +1."
CeroUp2,"Уменьшает перезарядку на 0.4 секунды.
+2 к базовому урону.","Reduces cooldown by 0.4 seconds.
+2 to base damage.","Bekleme süresini 0,4 saniye azaltır.
temel hasara +2."
CeroUp3,"Продлевает время действия на 0.2 секунды.
Серо позволяет отталкивать врагов.","Extends the action time by 0.2 seconds.
Cero allows you to repel enemies.","Eylem süresini 0,2 saniye uzatır.
Cero, düşmanları püskürtmenize izin verir."
CeroUp4,"Уменьшает перезарядку на 0.6 секунды.
+2 к базовому урону.","Reduces cooldown by 0.6 seconds.
+2 to base damage.","Bekleme süresini 0,6 saniye azaltır.
temel hasara +2."
CeroUp5,"+25% к базовой скорости.
+3 к базовому урону.","+25% to base speed.
+3 to base damage.","taban hızına +% 25.
temel hasara +3."
CeroUp6,"Продлевает время действия на 0.4 секунды.
+4 к базовому урону.","Extends the action time by 0.4 seconds.
+4 to base damage.","Eylem süresini 0,4 saniye uzatır.
+4 temel hasara."
