Key,ru,en,tr
HaoriUp4,Уменьшает перезарядку оружия на 20%.,Reduces weapon reloading by 20%.,Silahın yeniden yüklenmesini% 20 azaltır.
HollowUnlock,Разблокировать Маску Пустого,Unlock Hollow Mask,İçi Boş Maskenin Kilidini Aç
HollowUp,Улучшить Маску Пустого,Upgrade Hollow Mask,İçi Boş Maskeyi Yükseltin
HollowDes,Увеличивает наносимый урон на 8%.,Increases damage dealt by 8%.,Verilen hasarı% 8 artırır.
HollowUp1,Увеличивает наносимый урон на 16%.,Increases damage dealt by 16%.,Verilen hasarı% 16 artırır.
HollowUp2,Увеличивает наносимый урон на 24%.,Increases damage dealt by 24%.,Verilen hasarı% 24 artırır.
HollowUp3,Увеличивает наносимый урон на 32%.,Increases damage dealt by 32%.,Verilen hasarı% 32 artırır.
HollowUp4,Увеличивает наносимый урон на 40%.,Increases damage dealt by 40%.,Verilen hasarı% 40 artırır.
TenshintaiUnlock,Разблокировать Теншинтай,Unlock Tenshintai,Tenshintai'nin kilidini Aç
TenshintaiUp,Улучшить Теншинтай,Upgrade Tenshintai,Tenshintai'yi Yükseltin
TenshintaiDes,Продлевает эффект оружия на 5%.,Prolongs the effect of the weapon by 5%.,Silahın etkisini% 5 uzatır.
TenshintaiUp1,Продлевает эффект оружия на 10%.,Prolongs the effect of the weapon by 10%.,Silahın etkisini% 10 uzatır.
TenshintaiUp2,Продлевает эффект оружия на 15%.,Prolongs the effect of the weapon by 15%.,Silahın etkisini% 15 uzatır.
TenshintaiUp3,Продлевает эффект оружия на 20%.,Prolongs the effect of the weapon by 20%.,Silahın etkisini% 20 uzatır.
TenshintaiUp4,Продлевает эффект оружия на 25%.,Prolongs the effect of the weapon by 25%.,Silahın etkisini% 25 uzatır.
GokonUnlock,Разблокировать Гокон Текко,Unlock Gokon Tekko,Gokon Tekko'nun kilidini Aç
GokonUp,Улучшить Гокон Текко,Upgrade Gokon Tekko,Gökon Tekko'yu Yükseltin
GokonDes,Персонаж получает на 10% больше опыта.,The character gets 10% more experience.,Karakter% 10 daha fazla deneyim kazanır.
GokonUp1,Персонаж получает на 20% больше опыта.,The character gets 20% more experience.,Karakter% 20 daha fazla deneyim kazanır.
GokonUp2,Персонаж получает на 30% больше опыта.,The character gets 30% more experience.,Karakter% 30 daha fazla deneyim kazanır.
GokonUp3,Персонаж получает на 40% больше опыта.,The character gets 40% more experience.,Karakter% 40 daha fazla deneyim kazanıyor.
GokonUp4,Персонаж получает на 50% больше опыта.,The character gets 50% more experience.,Karakter% 50 daha fazla deneyim kazanır.
CookieUnlock,Разблокировать Печеньку,Unlock Cookie,Çerezin Kilidini Aç
CookieUp,Улучшить Печеньку,Upgrade Cookie,Çerez Yükseltme
CookieDes,Увеличивает максимум ОЗ на 20%.,Increases the maximum HP by 20%.,Maksimum SN'yi% 20 artırır.
CookieUp1,Увеличивает максимум ОЗ на 40%.,Increases the maximum HP by 40%.,Maksimum SN'yi% 40 artırır.
CookieUp2,Увеличивает максимум ОЗ на 60%.,Increases the maximum HP by 60%.,Maksimum SN'yi% 60 artırır.
CookieUp3,Увеличивает максимум ОЗ на 80%.,Increases the maximum HP by 80%.,Maksimum SN'yi% 80 artırır.
CookieUp4,Увеличивает максимум ОЗ на 100%.,Increases the maximum HP by 100%.,Maksimum SN'yi% 100 artırır.
CapeUnlock,Разблокировать Накидку,Unlock Cape,Pelerin kilidini aç
CapeUp,Улучшить Накидку,Upgrade Cape,Pelerin Yükseltme
CapeDes,Увеличивает скорость движения на 5%.,Increases movement speed by 5%.,Hareket hızını% 5 artırır.
CapeUp1,Увеличивает скорость движения на 10%.,Increases movement speed by 10%.,Hareket hızını% 10 artırır.
CapeUp2,Увеличивает скорость движения на 15%.,Increases movement speed by 15%.,Hareket hızını% 15 artırır.
CapeUp3,Увеличивает скорость движения на 20%.,Increases movement speed by 20%.,Hareket hızını% 20 artırır.
CapeUp4,Увеличивает скорость движения на 25%.,Increases movement speed by 25%.,Hareket hızını% 25 artırır.
ChappyUnlock,Разблокировать Чаппи,Unlock Chappy,Chappy'nin kilidini Aç
ChappyUp,Улучшить Чаппи,Upgrade Chappy,Mutlu Yükseltme
ChappyDes,Увеличивает количество снарядов на 1.,Increases the number of projectiles by 1.,Mermi sayısını 1 artırır.
ChappyUp1,Увеличивает количество снарядов на 2.,Increases the number of projectiles by 2.,Mermi sayısını 2 artırır.
YukiUnlock,Разблокировать Юки,Unlock Yuki,Yuki'nin kilidini aç
YukiUp,Улучшить Юки,Upgrade Yuki,Yuki'yi Yükseltin
YukiDes,Ускоряет снаряды на 10%.,Accelerates projectiles by 10%.,Mermileri% 10 hızlandırır.
YukiUp1,Ускоряет снаряды на 20%.,Accelerates projectiles by 20%.,Mermileri% 20 hızlandırır.
YukiUp2,Ускоряет снаряды на 30%.,Accelerates projectiles by 30%.,Mermileri% 30 hızlandırır.
YukiUp3,Ускоряет снаряды на 40%.,Accelerates projectiles by 40%.,Mermileri% 40 hızlandırır.
YukiUp4,Ускоряет снаряды на 50%.,Accelerates projectiles by 50%.,Mermileri% 50 hızlandırır.
HairpinsUnlock,Разблокировать Заколку,Unlock Hairpins,Saç Tokalarının Kilidini Aç
HairpinsUp,Улучшить Заколку,Upgrade Hairpins,Saç Tokalarını Yükseltin
HairpinsDes,Увеличивает восстановление на 2 ОЗ/секунду.,Increases recovery by 2 HP/second.,İyileşmeyi 2 SN/saniye artırır.
HairpinsUp1,Увеличивает восстановление на 4 ОЗ/секунду.,Increases recovery by 4 HP/second.,İyileşmeyi 4 SN/saniye artırır.
HairpinsUp2,Увеличивает восстановление на 6 ОЗ/секунду.,Increases recovery by 6 HP/second.,İyileşmeyi 6 SN/saniye artırır.
HairpinsUp3,Увеличивает восстановление на 8 ОЗ/секунду.,Increases recovery by 8 HP/second.,İyileşmeyi 8 SN/saniye artırır.
HairpinsUp4,Увеличивает восстановление на 10 ОЗ/секунду.,Increases recovery by 10 HP/second.,İyileşmeyi 10 SN/saniye artırır.
LicenseUnlock,Разблокировать Удостоверение,Unlock License,Lisansın Kilidini Aç
LicenseUp,Улучшить Удостоверение,Upgrade License,Yükseltme Lisansı
LicenseDes,Персонаж получает на 10% больше монет.,The character gets 10% more coins.,Karakter% 10 daha fazla jeton alır.
LicenseUp1,Персонаж получает на 20% больше монет.,The character gets 20% more coins.,Karakter% 20 daha fazla jeton alır.
LicenseUp2,Персонаж получает на 30% больше монет.,The character gets 30% more coins.,Karakter% 30 daha fazla jeton alır.
LicenseUp3,Персонаж получает на 40% больше монет.,The character gets 40% more coins.,Karakter% 40 daha fazla jeton alır.
LicenseUp4,Персонаж получает на 50% больше монет.,The character gets 50% more coins.,Karakter% 50 daha fazla jeton alır.
